
Problem 1.1: 
Iteration;learning_rate;momentum;p;c_p;trp;c_tr;vp;c_val;tsp;c_ts;ne;be
1;0.100000;0.000000;0.151540;0.790765;0.145558;0.801498;0.161955;0.758105;0.154884;0.815217;970;964
2;0.100000;0.000000;0.132471;0.820346;0.116245;0.852684;0.153843;0.775561;0.156532;0.777174;4092;4086
3;0.100000;0.000000;0.133400;0.814574;0.126883;0.820225;0.140792;0.802993;0.145660;0.815217;1864;1858
4;0.100000;0.000000;0.128756;0.830447;0.120826;0.843945;0.136923;0.820449;0.145482;0.793478;2598;2592
5;0.100000;0.000000;0.130182;0.831890;0.116656;0.848939;0.148604;0.802993;0.148914;0.820652;3177;3171
6;0.100000;0.000000;0.132584;0.816739;0.122085;0.826467;0.146632;0.805486;0.147679;0.798913;2074;2068
7;0.100000;0.000000;0.135463;0.813853;0.127170;0.827715;0.145776;0.795511;0.149086;0.793478;1903;1897
8;0.100000;0.000000;0.130433;0.818903;0.118903;0.840200;0.146362;0.790524;0.145910;0.788043;2698;2692
9;0.100000;0.000000;0.131222;0.820346;0.121052;0.830212;0.147034;0.807980;0.141034;0.804348;2723;2717
10;0.100000;0.000000;0.134356;0.818182;0.126391;0.825218;0.143934;0.810474;0.148153;0.804348;1552;1546
1;0.010000;0.000000;0.153121;0.784993;0.147682;0.791511;0.161827;0.765586;0.157824;0.798913;5000;5000
2;0.010000;0.000000;0.150955;0.789322;0.147601;0.800250;0.154693;0.773067;0.157408;0.777174;5000;5000
3;0.010000;0.000000;0.153929;0.789322;0.149039;0.789014;0.163270;0.783042;0.154861;0.804348;5000;5000
4;0.010000;0.000000;0.165040;0.772727;0.162732;0.775281;0.172156;0.758105;0.159581;0.793478;5000;5000
5;0.010000;0.000000;0.162581;0.761905;0.160561;0.762797;0.166531;0.753117;0.162764;0.777174;5000;5000
6;0.010000;0.000000;0.146209;0.805195;0.140886;0.817728;0.154401;0.783042;0.151525;0.798913;5000;5000
7;0.010000;0.000000;0.154240;0.774170;0.149889;0.781523;0.161007;0.768080;0.158437;0.755435;5000;5000
8;0.010000;0.000000;0.154394;0.797980;0.149267;0.810237;0.163979;0.763092;0.155825;0.820652;5000;5000
9;0.010000;0.000000;0.163765;0.763348;0.160266;0.775281;0.169198;0.738155;0.167152;0.766304;5000;5000
10;0.010000;0.000000;0.159496;0.774892;0.154560;0.776529;0.167107;0.778055;0.164396;0.760870;5000;5000
1;0.001000;0.000000;0.205746;0.697691;0.205725;0.694132;0.203780;0.705736;0.210119;0.695652;5000;5000
2;0.001000;0.000000;0.240677;0.584416;0.244582;0.583021;0.235913;0.578554;0.234060;0.603261;5000;5000
3;0.001000;0.000000;0.221753;0.653680;0.220600;0.657928;0.220081;0.660848;0.230422;0.619565;5000;5000
4;0.001000;0.000000;0.211076;0.645022;0.212908;0.641698;0.210307;0.640898;0.204772;0.668478;5000;5000
5;0.001000;0.000000;0.240380;0.558442;0.238937;0.560549;0.240317;0.553616;0.246800;0.559783;5000;5000
6;0.001000;0.000000;0.195157;0.691198;0.195892;0.702871;0.196922;0.675810;0.188112;0.673913;5000;5000
7;0.001000;0.000000;0.220344;0.655123;0.214267;0.670412;0.231181;0.615960;0.223178;0.673913;5000;5000
8;0.001000;0.000000;0.216929;0.639971;0.218581;0.636704;0.220142;0.618454;0.202733;0.701087;5000;5000
9;0.001000;0.000000;0.202932;0.712843;0.200037;0.725343;0.208395;0.683292;0.203630;0.722826;5000;5000
10;0.001000;0.000000;0.213311;0.660895;0.209692;0.670412;0.224649;0.640898;0.204354;0.663043;5000;5000

Problem 1.2: 
Iteration;learning_rate;momentum;p;c_p;trp;c_tr;vp;c_val;tsp;c_ts;ne;be
1;0.100000;0.900000;0.468582;0.500722;0.452981;0.505618;0.457049;0.526185;0.561631;0.423913;7;1
2;0.100000;0.900000;0.387112;0.462482;0.377359;0.473159;0.404794;0.448878;0.391030;0.445652;8;2
3;0.100000;0.900000;0.445875;0.427128;0.449471;0.424469;0.437072;0.441397;0.449401;0.407609;7;1
4;0.100000;0.900000;0.372184;0.557720;0.376215;0.551810;0.322988;0.583541;0.461852;0.527174;7;1
