
Problem 3: 
iteration;units;learning_rate;momentum;p;c_p;trp;c_tr;vp;c_val;tsp;c_ts;ne;be
1;0;0.000000;0.000000;0.159596;0.783550;0.151348;0.790262;0.166822;0.770574;0.179753;0.782609;4;2
2;0;0.000000;0.000000;0.158910;0.785714;0.154166;0.787765;0.165506;0.783042;0.165190;0.782609;4;1
3;0;0.000000;0.000000;0.160118;0.778499;0.156969;0.779026;0.164349;0.773067;0.164606;0.788043;4;1
4;0;0.000000;0.000000;0.160593;0.772727;0.156865;0.774032;0.166161;0.765586;0.164685;0.782609;4;1
5;0;0.000000;0.000000;0.159672;0.774892;0.157173;0.777778;0.163998;0.760599;0.161123;0.793478;4;1
6;0;0.000000;0.000000;0.159541;0.785714;0.151355;0.794007;0.166783;0.770574;0.179392;0.782609;4;2
7;0;0.000000;0.000000;0.160092;0.786436;0.151277;0.794007;0.167422;0.773067;0.182491;0.782609;4;2
8;0;0.000000;0.000000;0.158786;0.784271;0.154693;0.790262;0.165113;0.768080;0.162815;0.793478;4;1
9;0;0.000000;0.000000;0.159463;0.783550;0.151361;0.790262;0.166742;0.770574;0.178871;0.782609;4;2
10;0;0.000000;0.000000;0.160016;0.784271;0.156934;0.789014;0.166936;0.770574;0.158352;0.793478;4;1
1;6;0.000000;0.000000;0.121492;0.835498;0.109124;0.845194;0.134305;0.820449;0.147411;0.826087;11;5
2;6;0.000000;0.000000;0.119588;0.839827;0.101521;0.862672;0.138007;0.812968;0.158096;0.798913;15;9
3;6;0.000000;0.000000;0.116776;0.849928;0.107213;0.865169;0.125778;0.822943;0.138791;0.842391;12;6
4;6;0.000000;0.000000;0.135454;0.820346;0.126101;0.833958;0.147855;0.795511;0.149143;0.815217;16;10
5;6;0.000000;0.000000;0.118721;0.832612;0.113825;0.852684;0.120206;0.807980;0.136800;0.798913;15;9
6;6;0.000000;0.000000;0.122957;0.844877;0.111967;0.860175;0.135898;0.825436;0.142594;0.820652;14;8
7;6;0.000000;0.000000;0.124851;0.828283;0.117219;0.833958;0.132733;0.822943;0.140895;0.815217;11;5
8;6;0.000000;0.000000;0.109882;0.852092;0.099660;0.876404;0.117692;0.830424;0.137363;0.793478;20;14
9;6;0.000000;0.000000;0.118255;0.841991;0.104499;0.865169;0.134616;0.812968;0.142484;0.804348;16;10
10;6;0.000000;0.000000;0.109790;0.857864;0.097929;0.877653;0.124965;0.825436;0.128351;0.842391;17;11
1;12;0.000000;0.000000;0.127234;0.828283;0.120236;0.848939;0.135515;0.800499;0.139648;0.798913;10;4
2;12;0.000000;0.000000;0.125389;0.841991;0.105314;0.867665;0.144970;0.807980;0.170109;0.804348;12;6
3;12;0.000000;0.000000;0.120342;0.857143;0.097638;0.886392;0.151123;0.830424;0.152098;0.788043;14;8
4;12;0.000000;0.000000;0.122768;0.851371;0.096092;0.886392;0.151661;0.805486;0.175928;0.798913;15;9
5;12;0.000000;0.000000;0.121015;0.841270;0.108119;0.857678;0.137074;0.815461;0.142158;0.826087;12;6
6;12;0.000000;0.000000;0.139662;0.809524;0.129013;0.830212;0.156261;0.775561;0.149841;0.793478;9;3
7;12;0.000000;0.000000;0.123906;0.845599;0.103528;0.862672;0.142074;0.830424;0.173019;0.804348;13;7
8;12;0.000000;0.000000;0.116558;0.844877;0.101053;0.867665;0.133429;0.820449;0.147290;0.798913;16;10
9;12;0.000000;0.000000;0.128205;0.836941;0.102783;0.871411;0.160415;0.790524;0.168674;0.788043;11;5
10;12;0.000000;0.000000;0.127291;0.842713;0.110891;0.860175;0.147279;0.815461;0.155122;0.826087;11;5
1;16;0.000000;0.000000;0.124716;0.836941;0.107981;0.856429;0.144217;0.802993;0.155067;0.826087;10;4
2;16;0.000000;0.000000;0.139756;0.821068;0.127148;0.850187;0.159614;0.783042;0.151365;0.777174;9;3
3;16;0.000000;0.000000;0.135361;0.826118;0.117484;0.852684;0.163631;0.785536;0.151573;0.798913;12;6
4;16;0.000000;0.000000;0.126878;0.841270;0.108841;0.877653;0.147236;0.783042;0.161030;0.809783;11;5
5;16;0.000000;0.000000;0.124671;0.841991;0.113851;0.861423;0.136449;0.817955;0.146104;0.809783;14;8
6;16;0.000000;0.000000;0.127721;0.829726;0.113584;0.853933;0.142743;0.807980;0.156525;0.771739;13;7
7;16;0.000000;0.000000;0.137884;0.833333;0.119833;0.858926;0.157173;0.805486;0.174429;0.782609;10;4
8;16;0.000000;0.000000;0.124359;0.843434;0.108441;0.868914;0.150719;0.802993;0.136206;0.820652;14;8
9;16;0.000000;0.000000;0.137975;0.816017;0.125070;0.831461;0.151922;0.790524;0.163757;0.804348;9;3
10;16;0.000000;0.000000;0.126624;0.832612;0.102117;0.863920;0.155238;0.793017;0.170948;0.782609;12;6
