
Problem 4.1: 
iteration;p;c_p;trp;c_tr;vp;c_val;tsp;c_ts;ne;be
1;0.133084;0.822511;0.132213;0.818976;0.129010;0.837905;0.145752;0.804348;12;6
2;0.112183;0.844877;0.101472;0.872659;0.130468;0.798005;0.118962;0.826087;15;9
3;0.117544;0.848485;0.107866;0.863920;0.125394;0.822943;0.142568;0.836957;14;8
4;0.124934;0.834055;0.118822;0.842697;0.134316;0.825436;0.131095;0.815217;14;8
5;0.114917;0.842713;0.106545;0.856429;0.121966;0.825436;0.135996;0.820652;14;8
6;0.110148;0.854257;0.095188;0.880150;0.132771;0.820449;0.125971;0.815217;25;19
7;0.120390;0.841270;0.113033;0.855181;0.129755;0.827930;0.132007;0.809783;10;4
8;0.117156;0.840548;0.113007;0.850187;0.121788;0.830424;0.125124;0.820652;17;11
9;0.134327;0.828283;0.126150;0.845194;0.146561;0.798005;0.143259;0.820652;14;8
10;0.126291;0.843434;0.102179;0.876404;0.154480;0.795511;0.169820;0.804348;14;8

Problem 4.2: 
iteration;p;c_p;trp;c_tr;vp;c_val;tsp;c_ts;ne;be
1;0.114724;0.857143;0.100848;0.883895;0.131777;0.822943;0.137966;0.815217;13;7
2;0.111210;0.849206;0.098213;0.870162;0.127928;0.822943;0.131358;0.815217;13;7
3;0.120827;0.829726;0.113659;0.842697;0.127098;0.815461;0.138365;0.804348;12;6
4;0.127735;0.826118;0.116458;0.843945;0.141890;0.795511;0.145981;0.815217;12;6
5;0.128054;0.818182;0.123523;0.825218;0.134057;0.800499;0.134693;0.826087;12;6
6;0.123160;0.831890;0.115756;0.838951;0.131892;0.825436;0.136359;0.815217;12;6
7;0.131547;0.825397;0.123019;0.845194;0.143637;0.795511;0.142324;0.804348;13;7
8;0.119409;0.848485;0.107960;0.873908;0.138367;0.810474;0.127932;0.820652;16;10
9;0.126059;0.832612;0.106565;0.852684;0.150539;0.795511;0.157568;0.826087;13;7
10;0.117826;0.849928;0.106882;0.870162;0.132996;0.827930;0.132411;0.809783;14;8
